recipe_id,recipe_name,recipe_url,ingredients,cook_time,calorie_count,review_count,overall_rating
76562,awesome-baked-spaghetti-duplicate-1012004-13611-am,https://www.allrecipes.com/recipe/76562/awesome-baked-spaghetti-duplicate-1012004-13611-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76563,catfish-tacos,https://www.allrecipes.com/recipe/76563/catfish-tacos/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76564,easy-goulash-duplicate-1012004-13620-am,https://www.allrecipes.com/recipe/76564/easy-goulash-duplicate-1012004-13620-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76565,chickenitaliansausage,https://www.allrecipes.com/recipe/76565/chickenitaliansausage/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76566,chicken-asparagus-bow-tie-pasta,https://www.allrecipes.com/recipe/76566/chicken-asparagus-bow-tie-pasta/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76567,dees-crispy-oven-chicken,https://www.allrecipes.com/recipe/76567/dees-crispy-oven-chicken/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76568,shays-simple-salmon,https://www.allrecipes.com/recipe/76568/shays-simple-salmon/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76569,dianes-chicken-noodle-soup,https://www.allrecipes.com/recipe/76569/dianes-chicken-noodle-soup/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76570,spaghetti-bake-i,https://www.allrecipes.com/recipe/76570/spaghetti-bake-i/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76571,saucy-tamale-pie,https://www.allrecipes.com/recipe/76571/saucy-tamale-pie/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76572,3-can-silky-pumpkin-pie,https://www.allrecipes.com/recipe/76572/3-can-silky-pumpkin-pie/,"['1 (15 ounce) can 100% pure pumpkin', '1/2 teaspoon salt', '1 teaspoon ground ginger', '1/2 teaspoon cinnamon', '1/4 teaspoon allspice', '2 large eggs', '2 egg yolks', '1 cup canned evaporated milk', '1 (14 ounce) can sweetened condensed milk', '1 (9 inch) pie shell, baked']",,331  cals,1 reviews,5
76573,yummy-pot-pie,https://www.allrecipes.com/recipe/76573/yummy-pot-pie/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76574,creamy-mushroom-soup,https://www.allrecipes.com/recipe/76574/creamy-mushroom-soup/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76575,awesome-sloppy-joes-duplicate-1022004-13516-am,https://www.allrecipes.com/recipe/76575/awesome-sloppy-joes-duplicate-1022004-13516-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76576,dads-sauerkraut-and-kielbasa,https://www.allrecipes.com/recipe/76576/dads-sauerkraut-and-kielbasa/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76577,chicken-kiev-duplicate-1022004-13522-am,https://www.allrecipes.com/recipe/76577/chicken-kiev-duplicate-1022004-13522-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76578,butterscotch-cheesecake-bars-duplicate-1022004-13526-am,https://www.allrecipes.com/recipe/76578/butterscotch-cheesecake-bars-duplicate-1022004-13526-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76579,peanut-butter-and-chocolate-cheesecake,https://www.allrecipes.com/recipe/76579/peanut-butter-and-chocolate-cheesecake/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76580,baked-stuffed-chicken-with-apples-and-bacon,https://www.allrecipes.com/recipe/76580/baked-stuffed-chicken-with-apples-and-bacon/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
