recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
221057,https://www.allrecipes.com/recipe/221057/strawberry-cake-filling/,398 calories;,0.6 ,100.8,1.3 ,0 ,7 
221058,https://www.allrecipes.com/recipe/221058/strawberry-jam-in-a-slow-cooker/,70 calories;,0.1 ,17.8,0.2 ,0 ,< 1 
221059,https://www.allrecipes.com/recipe/221059/perfect-strawberry-milkshake/,256 calories;,2.6 ,41.7,16.7 ,17 ,223 
221060,https://www.allrecipes.com/recipe/221060/garlic-broccoli-salad/,140 calories;,9.2 ,12.9,4.5 ,0 ,26 
221061,https://www.allrecipes.com/recipe/221061/sweet-and-tangy-broccoli-salad/,382 calories;,28 ,27.7,8 ,26 ,506 
221062,https://www.allrecipes.com/recipe/221062/chicken-broccoli-salad/,341 calories;,28.7 ,12.8,11 ,28 ,266 
221063,https://www.allrecipes.com/recipe/221063/cauliflower-broccoli-salad/,255 calories;,16.1 ,22.9,6.8 ,22 ,519 
221064,https://www.allrecipes.com/recipe/221064/broccoli-salad-with-margarita-dressing/,167 calories;,11.4 ,14.8,4 ,5 ,54 
221065,https://www.allrecipes.com/recipe/221065/mushroom-broccoli-salad/,283 calories;,23.9 ,15,3.9 ,15 ,280 
221067,https://www.allrecipes.com/recipe/221067/creamy-ricotta-pie/,549 calories;,24.6 ,62.3,19.3 ,128 ,560 
221068,https://www.allrecipes.com/recipe/221068/gingerbread-cake-with-lemon-glaze/,355 calories;,13.1 ,57.5,3.2 ,21 ,384 
221069,https://www.allrecipes.com/recipe/221069/spicy-orange-chicken/,324 calories;,10.8 ,25.2,31 ,103 ,627 
221070,https://www.allrecipes.com/recipe/221070/spicy-mediterranean-chicken-with-sausage-stuffed-cherry-peppers/,389 calories;,25.2 ,15.7,25 ,75 ,2487 
221071,https://www.allrecipes.com/recipe/221071/simply-roasted-artichokes/,204 calories;,13.8 ,19.3,5.5 ,0 ,253 
221072,https://www.allrecipes.com/recipe/221072/fresh-and-crisp-cucumber-salad/,66 calories;,0.6 ,16.2,2.4 ,0 ,31 
221073,https://www.allrecipes.com/recipe/221073/simple-cucumber-salad/,287 calories;,24 ,15.5,4.9 ,50 ,65 
221074,https://www.allrecipes.com/recipe/221074/black-bean-and-cucumber-salad/,274 calories;,11 ,38.7,8.7 ,0 ,419 
221075,https://www.allrecipes.com/recipe/221075/gurkensalat-german-cucumber-salad/,60 calories;,3.1 ,7.9,1.1 ,6 ,301 
221077,https://www.allrecipes.com/recipe/221077/cucumber-with-sour-cream/,547 calories;,59 ,5.5,1.5 ,34 ,536 
221078,https://www.allrecipes.com/recipe/221078/hungarian-cucumber-salad/,98 calories;,7 ,8.9,1.3 ,0 ,393 
221079,https://www.allrecipes.com/recipe/221079/chef-johns-crab-cakes/,297 calories;,15 ,10.8,28.5 ,151 ,728 
221080,https://www.allrecipes.com/recipe/221080/chicken-breasts-with-chipotle-green-onion-gravy/,333 calories;,22.2 ,4.1,28.3 ,104 ,188 
221081,https://www.allrecipes.com/recipe/221081/herb-and-garlic-dressing/,257 calories;,27.6 ,3.3,0.3 ,0 ,292 
221082,https://www.allrecipes.com/recipe/221082/easy-italian-pasta-salad/,189 calories;,7.4 ,27.6,4.8 ,0 ,456 
221083,https://www.allrecipes.com/recipe/221083/low-fat-cucumber-pepper-pasta-salad/,377 calories;,15.7 ,42.1,18 ,43 ,282 
221084,https://www.allrecipes.com/recipe/221084/chicken-alfredo-pasta-salad/,455 calories;,21.8 ,47.9,19.3 ,45 ,862 
221085,https://www.allrecipes.com/recipe/221085/simple-tasty-pasta-salad/,678 calories;,23.4 ,96.6,21.3 ,14 ,1548 
221086,https://www.allrecipes.com/recipe/221086/no-mayo-easy-pasta-salad/,517 calories;,31.4 ,50.1,8.5 ,10 ,985 
221087,https://www.allrecipes.com/recipe/221087/veggie-pasta-salad/,190 calories;,7.4 ,27.1,4.7 ,0 ,336 
221088,https://www.allrecipes.com/recipe/221088/pasta-salad-with-fiddleheads-bacon-and-sun-dried-tomatoes/,750 calories;,27.7 ,107.3,22.1 ,29 ,224 
221089,https://www.allrecipes.com/recipe/221089/grilled-five-spice-chicken/,484 calories;,27.3 ,4.4,53 ,166 ,458 
221090,https://www.allrecipes.com/recipe/221090/grilled-lemon-yogurt-chicken/,523 calories;,29.9 ,5.8,55.2 ,169 ,590 
221091,https://www.allrecipes.com/recipe/221091/cornell-chicken/,633 calories;,53.5 ,1.3,32.5 ,127 ,3588 
221092,https://www.allrecipes.com/recipe/221092/chef-johns-tandoori-chicken/,215 calories;,11.1 ,1.9,25.8 ,94 ,93 
221093,https://www.allrecipes.com/recipe/221093/good-frickin-paprika-chicken/,618 calories;,41.3 ,5.8,54.1 ,167 ,258 
221094,https://www.allrecipes.com/recipe/221094/derby-blt-dip/,63 calories;,5.3 ,1.6,2.3 ,11 ,171 
221095,https://www.allrecipes.com/recipe/221095/mint-julep-party-size/,207 calories;,0 ,9.4,0 ,0 ,3 
221096,https://www.allrecipes.com/recipe/221096/traditional-kentucky-burgoo/,361 calories;,21 ,21,21.7 ,83 ,636 
221097,https://www.allrecipes.com/recipe/221097/louisville-rice-salad/,399 calories;,23.1 ,44.2,5.6 ,0 ,225 
221098,https://www.allrecipes.com/recipe/221098/official-henry-bains-sauce/,26 calories;,0.1 ,6.7,0.3 ,0 ,184 
221099,https://www.allrecipes.com/recipe/221099/spicy-chicken-orecchiette/,223 calories;,3.8 ,30.2,17.4 ,35 ,402 
221100,https://www.allrecipes.com/recipe/221100/byrons-delicious-strawberry-cake/,266 calories;,13.3 ,32.2,4.7 ,78 ,293 
221101,https://www.allrecipes.com/recipe/221101/best-ever-strawberry-cake/,641 calories;,35.1 ,74.5,8.7 ,185 ,641 
221102,https://www.allrecipes.com/recipe/221102/chocolate-strawberry-cake/,537 calories;,24.3 ,74.7,6.8 ,32 ,483 
221104,https://www.allrecipes.com/recipe/221104/tomato-sauce-cooking-school/,135 calories;,9.5 ,12.4,2.6 ,0 ,174 
221106,https://www.allrecipes.com/recipe/221106/oriental-edamame-salad/,251 calories;,12.7 ,21.4,16.1 ,0 ,269 
221107,https://www.allrecipes.com/recipe/221107/chickpea-and-edamame-salad/,333 calories;,16.8 ,37.1,11.5 ,1 ,260 
221108,https://www.allrecipes.com/recipe/221108/quick-edamame-salad/,138 calories;,5.7 ,16.7,7.2 ,0 ,186 
221109,https://www.allrecipes.com/recipe/221109/aunt-connies-coconut-cake/,694 calories;,40 ,79.9,6.6 ,138 ,313 
221110,https://www.allrecipes.com/recipe/221110/buttercream-coconut-cake-icing/,268 calories;,16.9 ,30.1,0.7 ,15 ,37 
221111,https://www.allrecipes.com/recipe/221111/quick-curried-cauliflower/,111 calories;,6.8 ,11.2,4.1 ,8 ,154 
221112,https://www.allrecipes.com/recipe/221112/baked-cauliflower-casserole/,384 calories;,25 ,15.5,25.8 ,192 ,1205 
221113,https://www.allrecipes.com/recipe/221113/pan-roasting-steak-cooking-school/,501 calories;,27.3 ,1.5,48.6 ,165 ,384 
221114,https://www.allrecipes.com/recipe/221114/chicken-stock-cooking-school/,388 calories;,20.9 ,5.6,42.3 ,133 ,198 
221115,https://www.allrecipes.com/recipe/221115/cheddar-cauliflower-soup/,238 calories;,12 ,23.4,11.6 ,30 ,253 
221116,https://www.allrecipes.com/recipe/221116/butter-sauce-cooking-school/,224 calories;,24.9 ,0.4,0.4 ,68 ,166 
221117,https://www.allrecipes.com/recipe/221117/beef-stock-cooking-school/,396 calories;,33.2 ,6.9,17.3 ,70 ,116 
221118,https://www.allrecipes.com/recipe/221118/bechamel-sauce-cooking-school/,140 calories;,9.7 ,8.8,4.5 ,29 ,683 
221120,https://www.allrecipes.com/recipe/221120/vegetable-stock-cooking-school/,37 calories;,1.4 ,5.9,1.3 ,0 ,33 
221121,https://www.allrecipes.com/recipe/221121/zucchini-coconut-cake/,445 calories;,25.4 ,51.5,5.7 ,48 ,291 
